!------------------------------------!
Kozul et al. (2016)
Temporal TBL simulation with Re_D ~ 500.
Statistics at Re_theta = 1100, that corresponds to Re_tau ~ 425 (according to G. Boga data).
Reynolds stresses <u'v'>^+.
!------------------------------------!

y^+,                 uvmean^+
2.053339334771535,   0.012508201807633679
2.3529727885784397,  0.01901019041423213
2.696371969414877,   0.027453220695856873
3.089977555754179,   0.0395415459370021
3.541177333672956,   0.0564902644575076
4.058406656025241,   0.07792549985126906
4.519893074988228,   0.09826980389472117
4.918525305452313,   0.12258554144896738
5.271946675024643,   0.14585086819137794
5.638066115287505,   0.1692527607997163
5.995034939233609,   0.1927237670336337
6.304829531405592,   0.21577714848881135
6.626050520527598,   0.23837388634641288
7.02424880987831,    0.2611722689028195
7.37913625934522,    0.2847630847459135
7.755345751793985,   0.31147246307066667
8.150780024897383,   0.3388672814732778
8.566441311452227,   0.36720457998294465
8.947521599348523,   0.392346006218238
9.357796897253715,   0.4170220791697479
9.704996075714705,   0.4416719007961907
10.19555186860415,   0.4680730209585049
10.729614126093361,  0.49696897211888613
11.127727961256172,  0.5218057319483813
11.690124725821228,  0.5474185960211584
12.286187895844806,  0.5748134144237695
12.912528825054535,  0.6010943926998606
13.512283147038216,  0.6264115086252187
14.145460691455773,  0.6540457067477936
14.876570694397483,  0.6782843283376015
15.899187708236928,  0.7050379239627687
16.936836473863952,  0.7309466009122593
18.13354358972711,   0.7550770346781441
19.535241080494565,  0.7785763002836925
21.11970171313229,   0.8012008183106546
23.068288696345,     0.825087048791183
26.145151166099684,  0.8482846298537752
29.963122380659996,  0.8662615084910686
34.336839920603765,  0.8776955500215307
39.34752293013606,   0.8844561364756846
45.087923030246984,  0.8871040824626876
51.6643640639635,    0.8862936716932226
59.19831207138134,   0.8818379659642372
67.82953208339046,   0.8748585944940455
77.71653525397802,   0.8635796443536502
89.04066170052012,   0.846622446295541
100.75675302767986,  0.8258023621577532
112.61051356915891,  0.8034742940259603
124.65284936633994,  0.7810491095765802
134.38243534079828,  0.7597074139025918
145.0633084230852,   0.7384920430103363
156.21934499652465,  0.7161125194045547
167.1940738133706,   0.6927876517800349
177.83656969706448,  0.6700459715104012
189.15598822045794,  0.6469661408023577
199.95353139846407,  0.6232671213126237
210.0634267374639,   0.5996480619206148
219.62137228690577,  0.5741148414912336
227.2932414683624,   0.5508511128431877
238.80823562161999,  0.525077538877565
248.0726376348482,   0.5000944508857252
255.14904074483144,  0.4791740580089352
264.9147936054576,   0.4586457198987466
274.88587459934666,  0.4352094287047834
285.81630626941865,  0.4095787798986845
297.1790425948765,   0.38296566698098844
308.35917550974204,  0.3573588155404732
319.30298117319825,  0.3327239535732467
330.6321759092307,   0.30694669147625553
340.49833265138824,  0.2782297326383969
352.3046010044229,   0.24869483861017305
365.54533689392156,  0.21853552265254783
377.3684998990612,   0.18856391733422462
392.8780507608396,   0.15928944651966703
403.3265369854416,   0.13456638369628693
421.09824113901396,  0.10897096416842778
438.73689508562023,  0.08050621367752497
455.24753279201957,  0.05627024239272704
476.8912880316426,   0.03402910426526806
517.9351929437966,   0.009496330464762393
595.0204236135123,   0.0010727534938332894
681.8067999603844,  -0.00014269004891165338
781.2585360410941,  -0.00020534800616744953
895.2134620618328,  -0.0007353514710535247
1025.7975791403744, -0.0003306639206788198
1175.4150123601628, -0.0015149510962484403
1346.8669010789865, -0.0015776090535042364
1543.327616328136,  -0.0016402670107600326
1768.4450701201079, -0.0017029249680158287
1952.5598897464956,  0.00017073782652921032



