!------------------------------------!
Yao et al. (2019)
A^+ = 12, T^+ = 100
Pure temporal spanwise oscillations
Channel flow, nominal Re_tau = 200
!------------------------------------!

y^+,                 vvar^+
0.5429810312785688,  0.007460930941604715
0.6532649130362256,  0.008311788470922732
0.7859623780940866,  0.01038334681087627
0.9456104122588223,  0.01214972994817054
1.137650037617674,   0.011703592866188162
1.3687074000277775,  0.012122118858405972
1.6467740714838632,  0.015923003346759446
1.981189878631521,   0.014790222058794766
2.3837452446822183,  0.02021870762799538
2.868133694760991,   0.02656271880517269
3.45104457826966,    0.03473778119830295
4.1525542055103335,  0.04504907001004499
4.996874691560457,   0.05825952324704642
6.013081745669212,   0.07391137810531845
7.236437601389871,   0.09414086100347308
8.709286320915993,   0.11910055954284005
10.482795894107461,  0.14985858693272514
12.512882066728707,  0.18622784170959328
14.564350839824174,  0.22314205220549543
16.52973737783361,   0.25862956862896724
18.603545924086365,  0.2948923753887176
20.938487121191887,  0.33427232886134073
23.368900434741757,  0.37260923708773297
25.86230978528727,   0.40874416090541676
28.621643275136915,  0.4445993407873301
31.94351642287214,   0.4821769440452024
35.952134439009775,  0.5203579949359514
40.80414274217364,   0.5565948254730944
47.89467514245487,   0.5933871475398389
57.64651723663948,   0.6227718865177594
69.36613603006897,   0.634609051342796
83.44602912586586,   0.6281357040083011
100.359891769973,    0.6053354833315583
119.67228694423653,  0.5713313363752963
141.4994402209012,   0.5338136782465175
168.7254407383157,   0.4986193479998857
191.35064998238732,  0.4828483294910517


