!-----------------------------------------!
Lee & Moser (2015)

Channel flow, nominal Re_tau = 1000
TKE production over dissipation minus 1.0
!-----------------------------------------!

y^+,                  P/eps - 1.0
1.0693062529838782,  -0.9929687397056517
1.2830979468324653,  -0.9876507667842116
1.5111193778272163,  -0.979712776021838
1.7143530399511988,  -0.9717880511725832
2.0571121318791565,  -0.9546501496624238
2.4340338570874205,  -0.9243839688822177
2.8003812175375775,  -0.884934459745625
3.2218676583739843,  -0.8152784664378601
3.6381407749440258,  -0.7298692013016947
3.9759737565094464,  -0.653664821630735
4.2647028831790985,  -0.5748404241188416
4.531841174927746,   -0.5104659224714401
4.815712840342316,   -0.42770486524158624
5.093505725138482,   -0.35676539483959147
5.312316735495607,   -0.27269764516755046
5.566481987518144,   -0.20176149124383547
5.692436365123662,   -0.14066346470075364
5.882491177344567,   -0.05019558328381879
6.034687795214111,   -0.0008366597723736824
6.190822168329279,    0.045830453184003916
6.350996177511023,    0.09518937669544925
6.515314339524131,    0.1418564896518264
6.683883875276522,    0.19031814297824923
7.124636338668115,    0.30608865518417006
7.308970751012312,    0.3482694172154346
7.4980744138780935,   0.3904501792466989
7.692070721211537,    0.43442548164800854
7.8910862595077145,   0.47481170330922773
8.095250890410918,    0.5125061144153792
8.357900872118385,    0.5564836826504893
8.684353622042076,    0.6031553272744679
9.023557348504406,    0.6456397110350077
9.436076362545164,    0.6902199910610674
9.930668651450954,    0.7265775602248872
10.31571154095109,    0.7571849374076435
11.703093547061428,   0.7716762892506316
13.092214421897946,   0.753329531407535
14.019774950435945,   0.7295412708360223
15.040013585650936,   0.6880524944474496
15.929738762230473,   0.6473368205516287
16.76469660417377,    0.6074264239885274
17.6434187920507,     0.5657214870553811
18.568199235659794,   0.5208761044746556
19.5414520801659,     0.4746848166163963
20.40953718880065,    0.4264690398379146
21.586854940294465,   0.37132927196023524
23.154459294888458,   0.30568787561000244
24.83590067758769,    0.23610650306352987
27.26927605955088,    0.17310004870648954
29.52420747214669,    0.10877529423328314
32.416934438941496,   0.0575887684649623
35.42712846170768,    0.006400584457501468
39.8916601887378,    -0.05041366978712292
45.10967383202387,   -0.08520044966870288
51.91394820759924,   -0.10815334606839722
59.74456894849113,   -0.11560793927224644
68.75634857451497,   -0.1098481897512178
79.12745128977285,   -0.09658399868272705
91.06291531508278,   -0.07793618650410084
106.74352562825362,  -0.04705441245410924
120.53504806135439,  -0.029938068052767886
138.79846639836492,  -0.012204347949793748
159.73461530071165,   0.0067697442961134335
183.82874096054832,   0.021339055633727844
211.5571877737496,    0.03346126646673531
243.46815119809182,   0.03497937511311178
280.1925156578015,    0.03144014271663376
322.4563272210966,    0.027737770286515362
371.09514763737434,   0.01702037640985643
427.0705735154656,   -0.002506579283387822
485.2519168951264,   -0.030235853334667162
537.4540610625381,   -0.06858994576732513
580.2590406836441,   -0.11065754558477847
614.5855440803341,   -0.1562184784797216
642.6818051108838,   -0.19628068590746062
667.784429060909,    -0.2381396995390448
693.8675409042654,   -0.286578694527462
716.3800361181912,   -0.33292632491796015
730.2366335300386,   -0.36432398389234955
745.9167870613472,   -0.4049024188297625
761.9962254648527,   -0.4563331933572745
783.376974870077,    -0.5087595595091818
795.1371116727163,   -0.5551132321231478
812.2442129726899,   -0.6023619090883368
826.194514798645,    -0.6561920779662245
840.3844131867264,   -0.6989559145621667
854.8180232100933,   -0.7408822989854209
869.4995306183191,   -0.7937553796659516
888.206513769031,    -0.8368167957677013
913.128580645935,    -0.888250467762528
936.7537893312557,   -0.9340021838634782
967.1467158709016,   -0.9779570937605824


