!------------------------------------!
Jimenez & Moin (1991)

y^+ ~ 7.2
!------------------------------------!

rz^+,                Cvv(rz^+)  
0.2912330254649014,  0.990836128795642
1.0074602330645988,  0.9735025647018913
1.7440985265800446,  0.9298191292479734
2.609310366560834,   0.894115135196608
3.489448045720808,   0.8561205700589514
4.334541167460314,   0.8196519048956962
5.291530137427383,   0.7779337479618217
6.178455809423852,   0.7388396914914984
7.037028103572583,   0.7017759167326032
7.6890938335817545,  0.6561059161343614
8.240146817053969,   0.6135565666193618
8.85347599277825,    0.5726719872536816
9.415650392241783,   0.5299846527136041
9.881860042412878,   0.4973581525439008
10.35080283859033,   0.46102503824366314
10.789266237647784,  0.4307638797342467
11.369058069429371,  0.3872219494151874
11.810018820410765,  0.3571604987405341
12.30170111598115,   0.31826222020360073
12.793254327199847,  0.28150243909292505
13.284910805899894,  0.2430318600412431
13.889521255698895,  0.20405320498132684
14.513109686882704,  0.16246644362372042
15.371533534027002,  0.12786194090502168
16.230060648652643,  0.09154664024531667
17.123345876375485,  0.05102720567826968
18.01191780413712,   0.005446431052454237
18.846729063580895, -0.0225218706442325
19.730776632624966, -0.06590098575496661
20.57590479154564,  -0.10295010021963469
21.325437382419704, -0.13753921526402912
22.229668963165484, -0.1515407080372495
23.17156244023401,  -0.16588671260241306
24.11335818200769,  -0.1786135691162667
25.017559643071404, -0.1921160791566936
25.92164923103034,  -0.2037652247610302
26.863507670917695, -0.21753078002478077
27.767688232610187, -0.2306870571485753
28.784649792370384, -0.24148582372941885
29.72571344146378,  -0.24208434484006758
30.742007450719544, -0.24182402473083497
31.751220753004173, -0.22819125423685183
32.58640104592044,  -0.2414869581070549
33.42974244271497,  -0.2444811830821656
34.54353976379778,  -0.23819804529198718
35.484411630425825, -0.2356193702264815
36.538191735411075, -0.2327911320810503
37.478932673625266, -0.22804340962605463
38.494774887650124, -0.22029834852491947
39.435587539393026, -0.2167386801956226
40.29469828392833,  -0.21160068635245377
41.27946857844597,  -0.20791026672071178
42.21049210810048,  -0.20159018417078656
43.161039953358184, -0.19989751335959238
44.25232053775784,  -0.19473964689117418
45.19294468536812,  -0.18805709343146915
46.13370652295353,  -0.18365560389310565
47.07456425177163,  -0.18084271244281935
48.05298060943112,  -0.17666353484346975
49.03133672772648,  -0.17148639177853364
50.009757388197684, -0.16737849742672584
50.988264104903365, -0.1646962680257571
51.96681815253798,  -0.16279815434774925
52.90781725945554,  -0.162327426745269
53.88627664523226,  -0.15886108162133894
54.82716387904502,  -0.15653698958276863
55.80573513792653,  -0.15492400889492863
56.8595195457235,   -0.15216705399703923
