!------------------------------------!
Kim et al. (1987)

y^+ ~ 10.52
!------------------------------------!

rz^+,                Cvv(rz^+)            
0.6563513040984716,  0.9730231437610031
1.5906043886838717,  0.9278959050668292
1.9677090659550416,  0.8990772015533155
2.9148729907338407,  0.8619951672596309
3.6724435085930622,  0.8310537998770714
4.429627343946805,   0.7970412066947059
4.996652621026797,   0.7646805657929798
5.944143738694855,   0.730197261022208
6.511406974239762,   0.6997266052280549
7.078521485744098,   0.6680747087416687
7.645189825126721,   0.6328790901785835
8.021699606235607,   0.5993354238961375
8.398447345809402,   0.5676817427212644
8.870071108331288,   0.5335877231266863
9.309664119152472,   0.49708717504429323
9.718402950682815,   0.4675250248393066
10.094942476599805,  0.4342176066953073
10.471422512900574,  0.4004376922744147
10.84799178362568,   0.36736652226886213
11.509374202001112,  0.3284443254211956
11.981536676047732,  0.2986290221118175
12.35837365004587,   0.2676840853522844
12.734913175962859,  0.23437666720828498
13.492156500932829,  0.20083657030281277
13.868933985314733,  0.16941913726638647
14.340411006783256,  0.13415962685547178
15.002895305050387,  0.10398911104759456
15.760346843677155,  0.07210275111124853
16.422277888513356,  0.03753801992826433
17.108150929183708,  0.001569773560022858
17.841918260313314, -0.026865587324528706
18.40900302700954,  -0.0587537319493614
19.261518972369124, -0.09158419209525048
20.01917872465269,  -0.12181681506247011
20.681119684424928, -0.15630279686597226
21.724168122788832, -0.1878152326948861
23.62455541468512,  -0.21385218050727284
25.71527548444554,  -0.24015734150368373
27.806148527504824, -0.2652475120737974
30.47157039553774,  -0.26294254440044895
33.70949766744082,  -0.249472310597876
36.28157253730466,  -0.23258272519753143
38.94962233552746,  -0.20940542199094692
41.50660607469762,  -0.18637828367760267
43.90464632281867,  -0.16577123854688813
46.3822401146866,   -0.14330446444413014
48.66943738981586,  -0.12107572316830617
51.337356310882974, -0.09893791177088662
54.10005276653353,  -0.08002268262936241
56.767712577272185, -0.059942855015745033
59.53015917653459,  -0.04301211023717211
62.482932887983374, -0.026394578288041037
65.53063448050025,  -0.011805501640475224
68.27542001653183,  -0.0010902018236620403
70.55314005826037,   0.0052104888644863845
72.8307019798888,    0.010255310657707462
75.43287579498946,   0.013458467457153178
78.28878190333799,   0.016698212467330054
81.62021231004576,   0.01682394377122831
85.14198569283758,   0.016762461252856742
88.37791675761832,   0.014377819986345353
91.70906822412559,   0.01228806874747801
95.04032232524344,   0.01101349290349285
98.27628824252665,   0.008905667637585823
101.70258607923793,  0.006522811059561429
104.93860487618,     0.004834982484226202
107.36584882013108,  0.005394664849811992
109.08834091321322,  0.0028120867577050568
111.53779094031626,  0.0049667862602300605
114.82660996204018,  0.004369685232282761
118.4315901238846,   0.003147614508749008
121.69033133833986,  0.0006278876408549738
123.78430958484776,  0.00020079546151108296
125.87835489237762,  0.0003063354488472836
127.9724434650829,   0.0007555090921054219
130.06648877261276,  0.0008610490794411785
132.16052326384875,  0.0008806806527963396
134.25462697936544,  0.0014501260756278889
136.34852734855755,  0.00040449331562397717
138.44254020720584,  0.0002523080610177253
140.53657469844183,  0.0002719396343731084
142.6305226593269,  -0.00039569610411605005
144.72451388538747, -0.0007196981866830487
146.81844021368488, -0.0015591507531338422
148.912312460513,   -0.002828145389487169
151.0062279725165,  -0.0037535063699183357
153.1001867496955,  -0.004335233694427121
155.19412389428675, -0.005088777846896875
157.288061038878,   -0.005842321999367295
159.38196573458765, -0.006853591393778835
161.47587372669165, -0.007838679176310759
163.57012773718682, -0.006075515886834859
165.66441100318158, -0.004079990791926225
167.75853635128598, -0.0033387285411339285
169.85258165881584, -0.00323318855379795
171.94661615005182, -0.0032135569804425668
174.0405965598185,  -0.003623467476990161
176.1346418673484,  -0.0035179274896544044
178.22860064452738, -0.0040996548141631894
180.32263513576336, -0.004080023240807806
182.41665881070548, -0.004146300081432797
184.51070411823534, -0.00404076009409704
