!------------------------------------!
Kim et al. (1987)

y^+ ~ 10.52
!------------------------------------!

rz^+,                Cww(rz^+)            
0.9197028054672458,  0.9857112789989043
2.494132679959222,   0.964234046496919
4.257920056714035,   0.9452423792183239
5.250724623788152,   0.9349867201849806
6.618727023026011,   0.916161534019202
7.774716721399521,   0.8879153546402168
8.562681886824521,   0.8669916182711186
9.139820252135813,   0.8460659054007694
9.763763783056888,   0.827803435970398
10.465312929313924,  0.8055082150484386
11.029355448154973,  0.7832902491656601
11.944153401209867,  0.7577055123970406
12.417893011082278,  0.7404166103839653
13.234669660719454,  0.7168546067388891
14.143722471634852,  0.6887417583570759
14.760891546233687,  0.6658517517535494
15.641575824877364,  0.6407502356637694
16.277434837191798,  0.6151064292294853
16.87296328911009,   0.5931342114280959
17.726597639254763,  0.5691866812877997
18.199847451286892,  0.5480075599283035
19.012563426970317,  0.5230629052087425
19.938352166070516,  0.4962068278734749
20.41244474766588,   0.4817214037699661
20.897433244352527,  0.4594736255744404
21.70752377801982,   0.43598020966213147
22.3716361087844,    0.41874034196523224
23.05030429038871,   0.39513060384723575
23.888383364141013,  0.3696150066762307
24.741841228424214,  0.3442657375811513
25.69035358450418,   0.3178936188970466
26.44887593622306,   0.29451219194477896
27.20775522563931,   0.27396574265387064
27.909334116704457,  0.25190676987035787
28.820310507931595,  0.22980251061649148
29.76959821200974,   0.20958859340789526
30.718766936855438,  0.1884296836455126
31.668316395244993,  0.17029475005524664
32.453640759085594,  0.14770822423628327
33.66113921940458,   0.12243386655917743
34.515925685116876,  0.10763701431471351
35.34480090577001,   0.08651179250077567
36.794549845551906,  0.06177379213159051
38.31458130543617,   0.03873325130345673
39.64459915396876,   0.018495903684583093
41.35527843773672,  -0.0023105973171873018
43.173293622451475, -0.02109399956963509
45.34767963416369,  -0.04437642346316384
47.43939222765113,  -0.06279846475764139
49.531414888229214, -0.07875779818467565
51.43380748666964,  -0.08886759877018524
53.40013983425852,  -0.09646626969385474
56.57163239856285,  -0.10532337304464456
58.094436778480905, -0.10633999650451686
60.19785470367501,  -0.10791465906534214
62.66310950928766,  -0.10732806494859948
64.75718726569909,  -0.10696479971932193
66.85153542945699,  -0.10445382414052928
68.94585114433335,  -0.10220057380367864
71.04024257326671,  -0.09934596456896405
73.13485032807725,  -0.09477318705463755
75.22958787841412,  -0.08916950857254391
77.3242172658124,   -0.08442491423025622
79.41871685768436,  -0.08071122085573568
81.51336787767033,  -0.07579480968548702
83.60795399989317,  -0.07139384899912149
84.75042503882293,  -0.06923543051868575
86.29287600437488,  -0.06633104924416333
88.93917544780808,  -0.06378393729119791
90.74810865734344,  -0.06020178357037853
92.77692012524719,  -0.057374533824957386
94.83294260998116,  -0.0536923119942212
96.74546469667845,  -0.05376993430262611
98.84016207220958,  -0.048485344215317694
100.93462921519995, -0.04502937608273894
103.02908554189645, -0.041659316364140775
105.1234618280184,  -0.03892497890899849
107.21768575891542, -0.03740072282792606
109.31150917790268, -0.03905753259024913
111.40567779118251, -0.03797263668353468
113.49977718018167, -0.037437554626295944
115.59393065065012, -0.03647293049915401
117.30740929428129, -0.0350455157873768
119.39670250810511, -0.034100737468341746
122.06659558957813, -0.03486589963895037
123.77989653695303, -0.034849837442568754
126.14309422836894, -0.03456076813452724
128.91981019537155, -0.03471574243944331
131.0138338703137,  -0.03478201928006852
133.1078683615497,  -0.03476238770671314
135.2019028527857,  -0.03474275613335798
137.2959373440217,  -0.034723124560002594
139.38991775378838, -0.03513303505655019
141.48385489837963, -0.035886579209020164
143.57768388003228, -0.03749920750129587
145.67206449267178, -0.03473050668056188
147.76610980020163, -0.0346249666932259
149.86014429143762, -0.03460533511987052
151.1927513546956,  -0.03427784478253404
153.07628382627087, -0.03378499139348379
155.57114744935396, -0.03455179446526513
157.3661191412937,  -0.033859972721113074
159.87557989668824, -0.03267469181569749
162.23449932251071, -0.030400089862749446
164.9358842830426,  -0.028964304842133748
168.5200716517258,  -0.02788414690842611
170.94484338653365, -0.02576830231915994
172.70555222501085, -0.023308987097952816
174.79958671624684, -0.023289355524597433
176.89383753336003, -0.021551555671630584
178.9880227316238,  -0.02033493353014526
181.08257867123615, -0.016173698227554656
183.05430240113643, -0.015616094825389393
184.7552505781076,  -0.01569654606903992
188.07616798014877, -0.012525743937017442
190.60174394165122, -0.009518606448981393

