!------------------------------------!
Yao et al. (2019)
A^+ = 12, T^+ = 100
Pure temporal spanwise oscillations
Channel flow, nominal Re_tau = 200
!------------------------------------!

y^+,                 umean^+
1.0664123997287465,  1.2138177554251577
1.2202181611980578,  1.3382264409113667
1.3961936377044861,  1.4973538293239628
1.5975337445636846,  1.688306695419076
1.8278823273439628,  1.9313376159037645
2.0914349597024655,  2.191727887851645
2.3929707844134,     2.4781571869943164
2.7379332818905344,  2.8282374415020257
3.1326070248375393,  3.1985702727167897
3.5841021045538093,  3.641233735028191
4.100624602937872,   4.124402350753705
4.691515076000943,   4.662542246112661
5.367445197409469,   5.273012772568254
6.103181632390809,   5.92977490292569
6.897305908287885,   6.629935411941105
7.699896277783237,   7.306226812694632
8.464624216967287,   8.090458879932566
9.100786736225144,   8.656403113639957
10.029330423483843,  9.34566145092461
11.341170697744271, 10.369843527738269
12.309585934164803, 11.09530583214794
13.581195304374356, 12.034139402560456
14.865840784901655, 12.789511002230302
16.088503062164616, 13.458354187520854
17.297316636714122, 14.092897722283688
19.283534420032364, 14.933239160212842
20.347725692851327, 15.381941774633809
22.301673630797875, 16.082102283649228
24.74429342751227,  16.821160598721058
27.623376625241068, 17.528393436110363
31.21775299048414,  18.214409288377993
35.71477233754707,  18.894317220686354
40.86070249579477,  19.47585549470329
46.74904208943166,  19.982169912379728
53.48652959272828,  20.44797917664205
61.195656215732896, 20.876176512734123
70.01630380002194,  21.284121272119137
80.1088535922757,   21.66892022955323
91.65627374020778,  22.05082596174346
104.86871384771963, 22.41537234247049
119.9864196534893,  22.75966614649047
137.28607968237003, 23.03452254465768
152.34797087513385, 23.16327106800969
