              yp,          delta_y,             gr_y,            AR_xy
        0.000000,         0.000000,         0.000000,         0.000000
        0.003458,         0.003458,         0.000000,        15.183122
        0.006917,         0.003459,         1.000435,        15.176526
        0.010379,         0.003462,         1.000870,        15.163340
        0.013846,         0.003467,         1.001305,        15.143578
        0.017319,         0.003473,         1.001741,        15.117258
        0.020799,         0.003480,         1.002178,        15.084407
        0.024289,         0.003490,         1.002615,        15.045057
        0.027789,         0.003500,         1.003054,        14.999248
        0.031302,         0.003512,         1.003494,        14.947023
        0.034828,         0.003526,         1.003935,        14.888436
        0.038369,         0.003542,         1.004378,        14.823543
        0.041928,         0.003559,         1.004822,        14.752409
        0.045506,         0.003577,         1.005268,        14.675103
        0.049104,         0.003598,         1.005716,        14.591703
        0.052724,         0.003620,         1.006165,        14.502290
        0.056368,         0.003644,         1.006617,        14.406954
        0.060038,         0.003670,         1.007072,        14.305786
        0.063735,         0.003697,         1.007529,        14.198889
        0.067462,         0.003727,         1.007988,        14.086367
        0.071221,         0.003759,         1.008450,        13.968330
        0.075013,         0.003792,         1.008915,        13.844897
        0.078840,         0.003828,         1.009384,        13.716188
        0.082706,         0.003865,         1.009855,        13.582331
        0.086611,         0.003905,         1.010330,        13.443457
        0.090558,         0.003947,         1.010809,        13.299704
        0.094550,         0.003992,         1.011291,        13.151213
        0.098589,         0.004039,         1.011777,        12.998132
        0.102678,         0.004089,         1.012267,        12.840611
        0.106819,         0.004141,         1.012762,        12.678805
        0.111014,         0.004196,         1.013261,        12.512875
        0.115268,         0.004253,         1.013764,        12.342984
        0.119582,         0.004314,         1.014272,        12.169300
        0.123960,         0.004378,         1.014785,        11.991993
        0.128405,         0.004445,         1.015303,        11.811241
        0.132920,         0.004515,         1.015827,        11.627219
        0.137509,         0.004589,         1.016355,        11.440111
        0.142176,         0.004667,         1.016890,        11.250101
        0.146924,         0.004748,         1.017430,        11.057376
        0.151757,         0.004833,         1.017975,        10.862126
        0.156680,         0.004923,         1.018527,        10.664545
        0.161697,         0.005017,         1.019085,        10.464827
        0.166812,         0.005115,         1.019649,        10.263170
        0.172031,         0.005219,         1.020219,        10.059772
        0.177358,         0.005327,         1.020796,         9.854834
        0.182799,         0.005441,         1.021379,         9.648559
        0.188360,         0.005561,         1.021969,         9.441149
        0.194046,         0.005686,         1.022565,         9.232811
        0.199864,         0.005818,         1.023168,         9.023748
        0.205821,         0.005956,         1.023778,         8.814169
        0.211922,         0.006102,         1.024394,         8.604279
        0.218177,         0.006254,         1.025016,         8.394285
        0.224591,         0.006415,         1.025645,         8.184396
        0.231174,         0.006583,         1.026280,         7.974817
        0.237935,         0.006760,         1.026921,         7.765757
        0.244882,         0.006947,         1.027567,         7.557421
        0.252025,         0.007143,         1.028218,         7.350015
        0.259374,         0.007349,         1.028874,         7.143744
        0.266940,         0.007566,         1.029534,         6.938810
        0.274734,         0.007795,         1.030197,         6.735418
        0.282770,         0.008035,         1.030863,         6.533766
        0.291058,         0.008289,         1.031530,         6.334056
        0.299614,         0.008555,         1.032197,         6.136482
        0.308450,         0.008837,         1.032862,         5.941241
        0.317583,         0.009133,         1.033524,         5.748526
        0.327028,         0.009445,         1.034182,         5.558525
        0.336802,         0.009774,         1.034832,         5.371428
        0.346922,         0.010121,         1.035472,         5.187419
        0.357408,         0.010486,         1.036100,         5.006679
        0.368279,         0.010871,         1.036711,         4.829386
        0.379556,         0.011276,         1.037302,         4.655717
        0.391259,         0.011703,         1.037869,         4.485842
        0.403412,         0.012153,         1.038406,         4.319929
        0.416038,         0.012626,         1.038909,         4.158141
        0.429161,         0.013123,         1.039369,         4.000640
        0.442806,         0.013645,         1.039781,         3.847579
        0.456999,         0.014193,         1.040136,         3.699110
        0.471765,         0.014766,         1.040426,         3.555380
        0.487131,         0.015366,         1.040641,         3.416530
        0.503124,         0.015993,         1.040769,         3.282698
        0.519770,         0.016645,         1.040800,         3.154016
        0.537093,         0.017323,         1.040720,         3.030610
        0.555118,         0.018025,         1.040516,         2.912603
        0.573867,         0.018749,         1.040174,         2.800111
        0.593361,         0.019493,         1.039679,         2.693244
        0.613614,         0.020254,         1.039017,         2.592109
        0.634641,         0.021027,         1.038171,         2.496804
        0.656449,         0.021808,         1.037127,         2.407424
        0.679039,         0.022590,         1.035871,         2.324057
        0.702405,         0.023367,         1.034393,         2.246784
        0.726536,         0.024130,         1.032680,         2.175682
        0.751408,         0.024872,         1.030728,         2.110821
        0.776989,         0.025582,         1.028533,         2.052263
        0.803238,         0.026249,         1.026097,         2.000067
        0.830102,         0.026864,         1.023427,         1.954284
        0.857518,         0.027416,         1.020536,         1.914957
        0.885412,         0.027894,         1.017443,         1.882127
        0.913701,         0.028289,         1.014173,         1.855824
        0.942295,         0.028594,         1.010756,         1.836074
        0.971095,         0.028800,         1.007229,         1.822897
        1.000000,         0.028905,         1.003629,         1.816306
        1.028905,         0.028905,         1.000000,         1.816306
        1.057705,         0.028800,         0.996384,         1.822897
        1.086299,         0.028594,         0.992823,         1.836074
        1.114588,         0.028289,         0.989358,         1.855824
        1.142482,         0.027894,         0.986025,         1.882127
        1.169898,         0.027416,         0.982856,         1.914957
        1.196762,         0.026864,         0.979877,         1.954284
        1.223011,         0.026249,         0.977109,         2.000067
        1.248592,         0.025582,         0.974567,         2.052263
        1.273464,         0.024872,         0.972258,         2.110821
        1.297595,         0.024130,         0.970188,         2.175682
        1.320961,         0.023367,         0.968354,         2.246784
        1.343551,         0.022590,         0.966751,         2.324057
        1.365359,         0.021808,         0.965371,         2.407424
        1.386386,         0.021027,         0.964202,         2.496804
        1.406639,         0.020254,         0.963233,         2.592109
        1.426133,         0.019493,         0.962448,         2.693244
        1.444882,         0.018749,         0.961835,         2.800111
        1.462907,         0.018025,         0.961377,         2.912603
        1.480230,         0.017323,         0.961062,         3.030610
        1.496876,         0.016645,         0.960873,         3.154016
        1.512869,         0.015993,         0.960800,         3.282698
        1.528235,         0.015366,         0.960828,         3.416530
        1.543001,         0.014766,         0.960947,         3.555380
        1.557194,         0.014193,         0.961145,         3.699110
        1.570839,         0.013645,         0.961412,         3.847579
        1.583962,         0.013123,         0.961741,         4.000640
        1.596588,         0.012626,         0.962122,         4.158141
        1.608741,         0.012153,         0.962549,         4.319929
        1.620444,         0.011703,         0.963014,         4.485842
        1.631721,         0.011276,         0.963513,         4.655717
        1.642592,         0.010871,         0.964039,         4.829386
        1.653078,         0.010486,         0.964589,         5.006679
        1.663198,         0.010121,         0.965158,         5.187419
        1.672972,         0.009774,         0.965743,         5.371428
        1.682417,         0.009445,         0.966341,         5.558525
        1.691550,         0.009133,         0.966948,         5.748526
        1.700386,         0.008837,         0.967563,         5.941241
        1.708942,         0.008555,         0.968184,         6.136482
        1.717230,         0.008289,         0.968808,         6.334056
