!------------------------------------!
Touber & Leschziner (2012)
A^+ = 12, T^+ = 100
Pure temporal spanwise oscillations
Channel flow, nominal Re_tau = 200
!------------------------------------!

y^+,                 umean^+
0.27823968024600476, 0.28254796552691985
0.33153336201741873, 0.33311592392542266
0.39504251007947094, 0.42923364637753636
0.4707169934470582,  0.5223807320435441
0.5608859342509954,  0.6081012257442922
0.6683301471709784,  0.70372384206539
0.7963573858874903,  0.8018219890415708
0.9489338922534046,  0.9593328717398641
1.1307560996061774,  1.1440745916441166
1.347425202969472,   1.3436694954788955
1.6056518315133435,  1.6026771350357762
1.9133944055594614,  1.8963422037638864
2.280184447836758,   2.2568466001793617
2.7173668618600586,  2.6866658549372957
3.238476575547531,   3.193226560002941
3.829004999489813,   3.7632028079855324
4.455704320749445,   4.351196816562808
5.0625356009946545,  4.930585542253823
5.752186361438786,   5.580990562435954
6.501117953411184,   6.211194932791443
7.167456798593994,   6.751567221871024
7.803704676031904,   7.380072256205207
8.37269419194861,    8.055436249780275
9.141920963608765,   8.719698896962207
10.224279473113091,  9.632228647399359
11.110868596330278, 10.396483702030288
12.190267360494754, 11.155737345575009
13.115698171790656, 11.76741089560616
13.96506805538079,  12.379050189489261
14.887690155752422, 12.984600652148393
15.871312599346512, 13.596958824109015
16.919922499115476, 14.209316996069637
18.03776126455166,  14.814867458728767
19.38366963616101,  15.474837637653131
20.996997904359375, 16.182419823541235
22.74428917776048,  16.857325004782183
24.636412216464183, 17.4777685116112
26.68544809482328,  18.054642678910675
29.136155437323392, 18.640551833798774
32.32310233593872,  19.253348568292722
36.434525428140596, 19.87270700747807
41.728325406268254, 20.490360647203
48.94695448710279,  21.10675379427093
58.33560720389633,  21.697482541609553
69.52292550079572,  22.21394536929555
82.85490722066251,  22.70812842108576
98.74306439097468,  23.19240935025562
117.67568297429625, 23.6321307276339
140.23142300484216, 23.955502164223063
151.7500679149321,  24.034578991915826

