!------------------------------------!
Moser et al. (1999)

Channel flow, nominal Re_tau = 180
TKE production over dissipation
!------------------------------------!

y^+,                 P/eps
1.5603454678995092,  0.043386786839402
2.2455875984553018,  0.16213433022297563
2.67506426041642,    0.24078076387986114
3.0646322326948194,  0.2926539285259617
3.2788141548007417,  0.3600464455866095
3.2879865103567596,  0.3938924375883075
3.6055918873976793,  0.44128485029787057
4.020317666794497,   0.4910698807539067
4.025720651793833,   0.5557232562257866
4.826498363911952,   0.6489603608804153
5.054896740836639,   0.7171731122572784
5.072991656812306,   0.7839433522074903
5.332732359066796,   0.8685737395002349
5.668218245710932,   0.9901900722825181
6.001227518768246,   1.1026677009294696
6.02142144493763,    1.1771832884944842
6.642479929014826,   1.236235916870052
7.125765874688227,   1.301420740951015
7.286937739917775,   1.3484640331100133
7.45423765927643,    1.4408054691988772
8.209309689370997,   1.4996346227819761
8.825947729838305,   1.5506019905364177
8.834995187826138,   1.5839871105115235
9.380489609350434,   1.625210319999296
9.641468473905306,   1.6974010526371002
10.422173279963076,  1.7873853146536856
12.49378719810602,   1.8310520774239538
14.203390700810886,  1.7859952358994473
15.100115327973839,  1.7459293433269714
16.836978280356504,  1.6376469511479947
18.084053682606026,  1.5933959825735413
18.293070685610587,  1.5422448810095952
18.936948112411386,  1.5083566675372868
19.719944893206986,  1.471434030655423
20.549232542382725,  1.4331964182130241
21.471450510033463,  1.3936151211767354
22.114113775805635,  1.3552466535086336
23.661453408865356,  1.306456536127742
25.071450199567437,  1.251608144653265
25.714025340748805,  1.212914497245146
27.725223845432907,  1.163869632590742
28.537883719547523,  1.1174788166822522
30.805695291163232,  1.067065827102372
32.62744247348738,   1.018933921132226
35.506525931137105,  0.9812305440525224
37.74811193950873,   0.9447850984746182
40.45853396789181,   0.9177839844641467
44.70259845389225,   0.8802828124413482
51.743275863541754,  0.8690121916572551
58.92724828735962,   0.8701153335044769
66.11257492206093,   0.8762155135114253
73.29857450818278,   0.8847988842603238
81.56749624375064,   0.8730384558525801
87.65934536135347,   0.8605331283785471
93.53242651753976,   0.8440393293998592
101.03144340394348,  0.8027585790050371
106.57448408131987,  0.7733133724014816
113.09141905891715,  0.7228442560620261
118.30477773631847,  0.681770428734128
123.18980884881339,  0.6340658460852475
127.26133153689361,  0.596760075305395
131.40023227437018,  0.5403242047572479
134.58322852180103,  0.5043558679810971
139.1391641161654,   0.44718678261427747
141.15415050951037,  0.4121192271182823
143.25688027319384,  0.37951858572264663
145.26952189964896,  0.3472740590622698
147.42942624506264,  0.31335607906151663
150.32358468094355,  0.269208870727186
153.28402260072016,  0.22865336613132836
155.39623848702115,  0.19089325188831752
157.67299930369688,  0.15785495113607872
160.53016825856184,  0.12448186397546834
164.60202046189437,  0.07882932226083161
168.66840843846342,  0.042437421376015916
177.55149824723833,  0.01074054259996915

