              yp,          delta_y,             gr_y,            AR_xy
        1.087420,         0.021697,         0.993841,         2.880538
        1.108940,         0.021521,         0.991861,         2.904176
        1.130244,         0.021304,         0.989937,         2.933696
        1.151295,         0.021050,         0.988082,         2.969082
        1.172057,         0.020762,         0.986304,         3.010313
        1.192499,         0.020442,         0.984611,         3.057362
        1.212594,         0.020095,         0.983011,         3.110203
        1.232318,         0.019724,         0.981507,         3.168803
        1.251649,         0.019331,         0.980104,         3.233128
        1.270570,         0.018921,         0.978805,         3.303139
        1.289068,         0.018498,         0.977609,         3.378793
        1.307131,         0.018063,         0.976517,         3.460046
        1.324753,         0.017621,         0.975527,         3.546849
        1.341927,         0.017174,         0.974637,         3.639149
        1.358652,         0.016725,         0.973844,         3.736891
        1.374928,         0.016276,         0.973145,         3.840017
        1.390757,         0.015829,         0.972534,         3.948464
        1.406143,         0.015386,         0.972009,         4.062166
        1.421091,         0.014948,         0.971565,         4.181056
        1.435609,         0.014518,         0.971195,         4.305063
        1.449704,         0.014095,         0.970897,         4.434110
        1.463386,         0.013682,         0.970664,         4.568121
        1.476664,         0.013278,         0.970492,         4.707016
        1.489549,         0.012885,         0.970377,         4.850709
        1.502051,         0.012502,         0.970314,         4.999115
        1.514182,         0.012131,         0.970298,         5.152145
        1.525953,         0.011771,         0.970326,         5.309706
        1.537375,         0.011422,         0.970394,         5.471703
        1.548461,         0.011085,         0.970498,         5.638038
        1.559221,         0.010760,         0.970634,         5.808613
        1.569666,         0.010446,         0.970801,         5.983323
        1.579809,         0.010143,         0.970993,         6.162063
        1.589660,         0.009851,         0.971210,         6.344726
        1.599229,         0.009569,         0.971448,         6.531202
        1.608528,         0.009299,         0.971706,         6.721378
        1.617566,         0.009038,         0.971980,         6.915140
        1.626354,         0.008788,         0.972269,         7.112372
        1.634900,         0.008546,         0.972572,         7.312953
        1.643215,         0.008315,         0.972886,         7.516764
        1.651307,         0.008092,         0.973210,         7.723681
        1.659185,         0.007878,         0.973543,         7.933580
        1.666857,         0.007672,         0.973883,         8.146335
        1.674331,         0.007474,         0.974230,         8.361817
        1.681616,         0.007284,         0.974583,         8.579897
        1.688718,         0.007102,         0.974939,         8.800442
        1.695644,         0.006926,         0.975300,         9.023321
        1.702402,         0.006758,         0.975663,         9.248399
        1.708998,         0.006596,         0.976029,         9.475540
        1.715438,         0.006440,         0.976396,         9.704607
        1.721729,         0.006291,         0.976764,         9.935464
        1.727876,         0.006147,         0.977134,        10.167969
        1.733884,         0.006008,         0.977503,        10.401984
        1.739760,         0.005876,         0.977872,        10.637367
        1.745507,         0.005748,         0.978241,        10.873977
