 mean[u],mean[v],mean[w],var[u],var[v],var[w],skew[u],skew[v],skew[w],kurt[u],kurt[v],kurt[w],<u'v'>,<u'w'>,<v'w'>,mean[p],var[p],mean[phi],var[phi],<u'phi'>,<v'phi'>,<w'phi'>
   3.8050308177439273E-023 ,   0.0000000000000000      ,  -2.3152268357476399E-021 ,   1.7736798000569812E-013 ,   0.0000000000000000      ,   1.1952579973460899E-013 ,  -1.9835893707134641E-020 ,   0.0000000000000000      ,   2.0174628111124792E-021 ,   3.9582822638332587E-025 ,   0.0000000000000000      ,   1.1974648558734933E-025 ,   0.0000000000000000      ,   8.8095094600875275E-044 ,   0.0000000000000000      ,  -6.6606321393313994E-003 ,   8.3312530804533145E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   8.1514664329456948E-002 ,  -4.2605757246891307E-019 ,   5.1976918438596798E-004 ,   8.0447556578592400E-004 ,   3.8738563305371562E-007 ,   1.5843347025753374E-004 ,   1.7849107339211234E-005 ,  -1.5532461153107680E-011 ,   3.3158128479243326E-007 ,   2.2645027649314147E-006 ,   7.9472015267565368E-013 ,   1.0125228391562760E-007 ,  -6.3840944502382809E-006 ,  -4.2368810594017796E-005 ,   7.1604436962125432E-008 ,  -6.6617225687690840E-003 ,   8.1543785565137762E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.16114070545494874      ,   7.8604657505199071E-019 ,   1.0847155629138971E-003 ,   3.0531676006430274E-003 ,   9.1024872386030343E-006 ,   4.3772334592750897E-004 ,   1.1666646922626664E-004 ,  -1.4530936753906169E-009 ,   1.6516245853801371E-006 ,   2.9425966786469440E-005 ,   4.1014429611580450E-010 ,   7.1886350168179044E-007 ,  -6.9393929440193881E-005 ,  -1.7479183102590723E-004 ,   7.4068970644974134E-007 ,  -6.6698714739954097E-003 ,   8.4222509850998993E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.23589280166790827      ,  -8.7413800156643795E-019 ,   1.7521983888193007E-003 ,   6.0621163129801342E-003 ,   3.0617393221932577E-005 ,   7.0034608363244485E-004 ,   2.4184322674752467E-004 ,  -1.0111426560873033E-008 ,   3.9123663389707477E-006 ,   9.8689587705826039E-005 ,   4.2266158328820518E-009 ,   1.7354751595880549E-006 ,  -2.0806159817471256E-004 ,  -4.1333098701657974E-004 ,   5.4837100895321338E-007 ,  -6.6923893495333189E-003 ,   8.5350098463413517E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.30249092076674361      ,   4.7433845046240819E-019 ,   2.4819464401623446E-003 ,   8.8119653707818268E-003 ,   7.3176850850089107E-005 ,   9.4918780053279662E-004 ,   2.5108273020842641E-004 ,  -5.9459444615816967E-008 ,   7.6084830322467317E-006 ,   1.8004678403598355E-004 ,   2.2823987496918631E-008 ,   3.1569889228604909E-006 ,  -4.1424765334161889E-004 ,  -7.5076626397844917E-004 ,  -3.3076214436967611E-006 ,  -6.7336742471320451E-003 ,   9.0698804225087734E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.35934705171213710      ,  -7.9959910220805952E-019 ,   3.1074019327178327E-003 ,   1.0708533870264464E-002 ,   1.2920476824834675E-004 ,   1.1991247564553313E-003 ,   1.2607656212670036E-004 ,  -2.0729000792279488E-007 ,   1.2325319034806069E-005 ,   2.4419666168573861E-004 ,   6.8438857962896340E-008 ,   5.1325380107985039E-006 ,  -6.2661561651449914E-004 ,  -1.1166357230067499E-003 ,  -1.2593749571756691E-005 ,  -6.7912687690888946E-003 ,   9.4468007359104975E-006 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.40663031170150088      ,   1.0706496453294356E-018 ,   3.4586218200641653E-003 ,   1.1660255646581380E-002 ,   2.0669415548657812E-004 ,   1.4390409870517053E-003 ,  -5.7805495194010112E-005 ,  -5.5521981469994724E-007 ,   1.5677197988077477E-005 ,   2.8279444672744752E-004 ,   1.7126456460502891E-007 ,   7.4089460350281153E-006 ,  -8.2973579292492002E-004 ,  -1.4063804687503038E-003 ,  -2.4313537480384183E-005 ,  -6.8671798997958604E-003 ,   1.0026277822886985E-005 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.44557531777466292      ,  -4.2012834183813297E-019 ,   3.4723935736367326E-003 ,   1.1863141796538579E-002 ,   2.9627298714388615E-004 ,   1.6412935011341375E-003 ,  -2.3152691713763940E-004 ,  -1.1190317106781590E-006 ,   1.6600840836776654E-005 ,   2.9793745567508259E-004 ,   3.4428322055975128E-007 ,   9.2804905945667318E-006 ,  -9.9192438021951010E-004 ,  -1.5472128700118844E-003 ,  -3.4604335573182099E-005 ,  -6.9584309117159283E-003 ,   1.0637714194802548E-005 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.47778854970506890      ,   2.7105054312137611E-019 ,   3.2030314669577436E-003 ,   1.1616578125794919E-002 ,   4.0407710956689915E-004 ,   1.7978170415943369E-003 ,  -3.6084425360715169E-004 ,  -1.8918708075889972E-006 ,   1.6790893256616410E-005 ,   2.9674499459193208E-004 ,   6.1993326633069750E-007 ,   1.0522645858295587E-005 ,  -1.1231132263027493E-003 ,  -1.5303717592574397E-003 ,  -4.0477621135702929E-005 ,  -7.0647253194862309E-003 ,   1.1242388334880256E-005 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
  0.50476545758040137      ,  -1.9515639104739080E-018 ,   2.7693154436772213E-003 ,   1.1157106707464948E-002 ,   5.1978456204211968E-004 ,   1.9216091792003509E-003 ,  -4.4186719816844203E-004 ,  -2.7127880777449091E-006 ,   1.6185571851524425E-005 ,   2.8562337036308139E-004 ,   9.8324287465434423E-007 ,   1.1569664994061667E-005 ,  -1.2160421414701853E-003 ,  -1.3978547771122049E-003 ,  -4.0976244408743856E-005 ,  -7.1819406210767989E-003 ,   1.1920823347011386E-005 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
