 mean[omega_x],mean[omega_y],mean[omega_z],dU/dy
  -6.4443950721386860E-003 ,   0.0000000000000000      ,  0.84623880407978302      ,  0.85612342586384160     
  -6.1319528089221233E-003 ,  -4.1633363423443370E-017 ,  0.81039618260628665      ,  0.82104303741893236     
  -6.0218140238963705E-003 ,  -2.7755575615628914E-017 ,  0.77600203787417166      ,  0.78760909678350632     
  -6.1155871484366757E-003 ,   1.3877787807814457E-017 ,  0.74316977755626235      ,  0.75602439168905344     
  -6.4114162446269616E-003 ,   1.0408340855860843E-017 ,  0.71196846808316627      ,  0.72640737813574763     
  -6.9042664542255903E-003 ,  -2.7755575615628914E-017 ,  0.68242703312792596      ,  0.69875701179820437     
  -7.5862607559604219E-003 ,   0.0000000000000000      ,  0.65453926954741648      ,  0.67299493007842393     
  -8.4470517942249884E-003 ,   4.8572257327350599E-017 ,  0.62826933925493422      ,  0.64901345399577870     
  -9.4742159346857813E-003 ,  -3.8163916471489756E-017 ,  0.60355742067835694      ,  0.62670909583050038     
  -1.0653659330982052E-002 ,  -2.4286128663675299E-017 ,  0.58032526245621563      ,  0.60599967661786536     
  -1.1970027538437089E-002 ,   2.0816681711721685E-017 ,  0.55848143276007001      ,  0.58682518568873043     
  -1.3407110923773733E-002 ,   1.3877787807814457E-017 ,  0.53792611824468384      ,  0.56909224655684176     
  -1.4948238033378724E-002 ,   2.0816681711721685E-017 ,  0.51855537677148278      ,  0.55274006574148915     
  -1.6576648425532237E-002 ,   2.7755575615628914E-017 ,  0.50026479514696376      ,  0.53769508875090855     
  -1.8275835653591851E-002 ,   1.3877787807814457E-017 ,  0.48295253849126363      ,  0.52393244779338144     
  -2.0029850456190178E-002 ,   1.3877787807814457E-017 ,  0.46652180570368484      ,  0.51133451963502119     
  -2.1823554129081817E-002 ,  -3.1225022567582528E-017 ,  0.45088272337053059      ,  0.49974339026689851     
  -2.3642812763174020E-002 ,  -3.4694469519536142E-018 ,  0.43595372172460056      ,  0.48899093168233426     
  -2.5474624688208297E-002 ,   6.9388939039072284E-018 ,  0.42166244133940917      ,  0.47896253223297658     
  -2.7307176068325584E-002 ,   4.8572257327350599E-017 ,  0.40794622089036175      ,  0.46958635432058315     
  -2.9129823044347400E-002 ,   1.7347234759768071E-017 ,  0.39475221571178554      ,  0.46080429667300138     
  -3.0933002876033934E-002 ,  -1.3877787807814457E-017 ,  0.38203719582529350      ,  0.45254389681431961     
  -3.2708080892539543E-002 ,   3.4694469519536142E-017 ,  0.36976707130910458      ,  0.44474317198489149     
  -3.4447144341775641E-002 ,  -3.1225022567582528E-017 ,  0.35791619290898219      ,  0.43737290725920369     
