 mean[omega_x],mean[omega_y],mean[omega_z]
   6.9388939039072284E-018 ,  -1.0842021724855044E-018 ,   2.7105054312137611E-018
  -2.8189256484623115E-018 ,  -4.5536491244391186E-018 ,  -5.4210108624275222E-019
  -8.6736173798840355E-019 ,  -4.3368086899420177E-019 ,   2.2768245622195593E-018
  -4.3368086899420177E-019 ,   1.7347234759768071E-018 ,  -2.1684043449710089E-019
   1.3010426069826053E-017 ,   1.7780915628762273E-017 ,   3.4694469519536142E-018
   7.5894152073985310E-018 ,   1.5612511283791264E-017 ,   1.7347234759768071E-018
   0.0000000000000000      ,   1.9949319973733282E-017 ,   4.3368086899420177E-019
   1.3660947373317356E-017 ,  -1.9081958235744878E-017 ,   3.6862873864507151E-018
  -4.7704895589362195E-018 ,   2.6020852139652106E-017 ,   2.1684043449710089E-018
  -3.4694469519536142E-018 ,  -2.6888213877640510E-017 ,  -2.6020852139652106E-018
   1.0408340855860843E-017 ,  -7.5460471204991109E-017 ,  -1.0842021724855044E-018
   9.9746599868666408E-018 ,   6.0715321659188248E-017 ,   3.1441863002079629E-018
   3.0899761915836876E-018 ,  -7.8062556418956319E-018 ,  -9.7578195523695399E-019
   1.4636729328554310E-018 ,  -7.8062556418956319E-017 ,   2.1684043449710089E-018
  -1.3552527156068805E-019 ,   3.2959746043559335E-017 ,   3.3203691532368573E-019
   4.3910187985662930E-018 ,   9.9746599868666408E-018 ,   8.1315162936412833E-020
   9.1072982488782372E-018 ,  -2.8839777788114418E-017 ,   1.2468324983583301E-018
  -1.6263032587282567E-018 ,   3.1875543871073830E-017 ,   7.0473141211557788E-019
  -7.5894152073985310E-019 ,  -1.0473392986209973E-016 ,   4.3368086899420177E-019
  -5.6378512969246231E-018 ,   4.2934406030425976E-017 ,   2.7105054312137611E-019
   3.9031278209478160E-018 ,   3.7296554733501353E-017 ,   7.0473141211557788E-019
   9.7578195523695399E-018 ,  -8.8470897274817162E-017 ,  -8.1315162936412833E-020
   1.0842021724855044E-018 ,   3.0357660829594124E-018 ,   0.0000000000000000     
   6.7220534694101275E-018 ,  -4.7271214720367993E-017 ,  -6.2341624917916505E-019
   1.0842021724855044E-018 ,  -6.5919492087118670E-017 ,   4.7433845046240819E-019
  -1.0842021724855044E-018 ,  -2.6020852139652106E-018 ,   1.2197274440461925E-019
   1.7347234759768071E-018 ,   1.0842021724855044E-017 ,   9.4867690092481638E-020
   9.4867690092481638E-020 ,   4.9873299934333204E-018 ,   2.2764010457459322E-020
   0.0000000000000000      ,   8.8081810539826306E-024 ,   0.0000000000000000     
