 mean[u],mean[v],mean[w],var[u],var[v],var[w],skew[u],skew[v],skew[w],kurt[u],kurt[v],kurt[w],<u'v'>,<u'w'>,<v'w'>,mean[p],var[p],mean[phi],var[phi],<u'phi'>,<v'phi'>,<w'phi'>
  -5.4593920428499827E-022 ,   0.0000000000000000      ,  -7.2032955692649032E-021 ,   2.2697824073907928E-012 ,   0.0000000000000000      ,   1.4404611383587994E-012 ,  -1.8471781886904131E-019 ,   0.0000000000000000      ,  -6.0003962187939493E-020 ,   4.0963070899247744E-024 ,   0.0000000000000000      ,   1.7425917613823514E-024 ,   0.0000000000000000      ,  -6.1956754606275942E-042 ,   0.0000000000000000      ,  -9.3992122231827263E-002 ,  -8.1398162619577101E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   1.2110578673891947      ,  -5.8546917314217239E-018 ,   4.2616537871498650E-003 ,  -1.3564883921611461      ,   4.7409578603633111E-006 ,   2.1186921217059853E-003 ,   3.1633464643013824      ,   4.2538250335486946E-010 ,  -2.6788632945099133E-005 ,  -5.5367665346881925      ,   1.0781278196636310E-011 ,   1.7155340776871807E-006 ,  -9.1096104636072725E-005 ,  -7.3229252349753839E-003 ,  -5.9343915167162083E-007 ,  -9.4005343822611082E-002 ,  -8.1442477637577223E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   2.3941798407212445      ,   9.0530881402539620E-018 ,   8.6003752962287450E-003 ,  -5.3023733556249102      ,   1.1170006119672276E-004 ,   6.0214859467192447E-003 ,   24.446728277792637      ,   4.0124038409616095E-008 ,  -1.4932242776307221E-004 ,  -84.595201563372200      ,   5.7073197753292394E-009 ,   1.3264176321966444E-005 ,  -9.7730435658776585E-004 ,  -2.9219726310909716E-002 ,  -8.4782491564102380E-006 ,  -9.4105395717430346E-002 ,  -8.1586630654540849E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   3.5070021493960422      ,  -6.8304736866586779E-018 ,   1.2773597845417733E-002 ,  -11.383797745582331      ,   3.7924958553511141E-004 ,   9.8429007934103044E-003 ,   76.899507240773275      ,   6.4564570575589233E-008 ,  -3.5787695185836885E-004 ,  -389.87122646444914      ,   6.2721987808717971E-008 ,   3.4573074480037015E-005 ,  -2.8925517521715912E-003 ,  -6.3565409419191379E-002 ,  -2.5698210175579282E-005 ,  -9.4385183234122941E-002 ,  -8.2066497743469233E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   4.5036724951907914      ,   1.8431436932253575E-017 ,   1.6365911770439955E-002 ,  -18.791632711873071      ,   9.1567771215394231E-004 ,   1.3347953947819641E-002 ,   163.08279470267132      ,  -4.7305178339636719E-007 ,  -6.2194514696682548E-004 ,  -1062.1700096883744      ,   3.5210012011551162E-007 ,   6.3564548459010822E-005 ,  -5.7015734408684257E-003 , -0.10469965142184470      ,  -4.8726667850428891E-005 ,  -9.4906081853771543E-002 ,  -8.2925554743766301E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   5.3622555764189466      ,  -1.9515639104739080E-017 ,   1.9061775611870425E-002 ,  -26.666930881136928      ,   1.6332357818862079E-003 ,   1.6506219087062266E-002 ,   275.67100756506238      ,  -2.5893197980486688E-006 ,  -9.0388194768693505E-004 ,  -2138.6173260362175      ,   1.0649405238544433E-006 ,   9.7974947593544560E-005 ,  -8.5385584239768258E-003 , -0.14571584168323359      ,  -6.3076415591745537E-005 ,  -9.5642789213129617E-002 ,  -8.4195625902174637E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   6.0847616639046098      ,   2.6020852139652106E-017 ,   2.0569525170084889E-002 ,  -34.369404898822545      ,   2.6193811799881399E-003 ,   1.9331963476991215E-002 ,   403.33414949821554      ,  -7.3239452975224573E-006 ,  -1.1601315534849966E-003 ,  -3551.9481939211810      ,   2.5764917578420603E-006 ,   1.3351734352929766E-004 ,  -1.1223230634345259E-002 , -0.17934278039008894      ,  -6.4384948509960718E-005 ,  -9.6609860423223948E-002 ,  -8.5869502385346706E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   6.6868093955450831      ,  -1.1275702593849246E-017 ,   2.0731504155521052E-002 ,  -41.540214001597597      ,   3.7407645080615986E-003 ,   2.1844022246567080E-002 ,   535.90854263972756      ,  -1.4511128147913725E-005 ,  -1.3436703772455366E-003 ,  -5188.1092362840027      ,   4.9174276903945318E-006 ,   1.6486148255875883E-004 ,  -1.3375933561374780E-002 , -0.19969168153058714      ,  -3.6375448369067002E-005 ,  -9.7751731770858968E-002 ,  -8.7878647290043198E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   7.1882934615464382      ,   1.5178830414797062E-017 ,   1.9731029759567413E-002 ,  -48.036272434931433      ,   5.0595100876700714E-003 ,   2.4029976088798782E-002 ,   666.38663496528045      ,  -2.3490175976351293E-005 ,  -1.4302929242412084E-003 ,  -6936.9747298247930      ,   8.4141316818896451E-006 ,   1.8938079206709391E-004 ,  -1.5195128008154347E-002 , -0.20557090358623664      ,   2.5675211865702161E-005 ,  -9.9052270794767958E-002 ,  -9.0208401167318590E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   7.6081165956628656      ,  -1.0408340855860843E-017 ,   1.7885640603179133E-002 ,  -53.840561852961301      ,   6.4509740675380888E-003 ,   2.5893616434958334E-002 ,   790.72324817570029      ,  -3.2169264470314582E-005 ,  -1.4234016868439644E-003 ,  -8714.0202091812698      ,   1.2705036882604841E-005 ,   2.0421975072074420E-004 ,  -1.6571318599975911E-002 , -0.19900299098581314      ,   1.1304316682733153E-004 , -0.10046199473153523      ,  -9.2766312243970223E-003 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
