!------------------------------------!
Kim et al. (1987)

y^+ ~ 10.52
!------------------------------------!

rz^+,                Cuu(rz^+)            
0.9310018867768761,  0.9790777373442624
2.6414941118217357,  0.9567855224343038
3.876001065264738,   0.9339460412511876
5.110697651485701,   0.9126127184071565
6.250454668451972,   0.8932150174425662
7.104709408217275,   0.8741949318640838
7.805706178407242,   0.8475124640293968
8.25994232377841,    0.8265159253522693
8.876768154273677,   0.8008997024562097
9.472167912046963,   0.7779053314081122
10.202989298952794,  0.7505070344810107
10.798077621356093,  0.7250390880068005
11.651304170578406,  0.697852599040651
12.28679825403028,   0.6693103451154894
12.88184970339342,   0.6435495345197906
13.592588898071796,  0.6186469581158067
14.180937963288521,  0.593651972200401
14.775751156084453,  0.5659988088196979
15.628789085524403,  0.5373142072320867
16.26411994161716,   0.5074755200072211
16.782856245738877,  0.48037618887935873
17.42705435214043,   0.456166224316232
18.089602185159357,  0.4265003332745274
18.799909539809683,  0.3981678674477235
19.41565881935159,   0.3748010407573016
20.173711797333553,  0.3476916128996066
20.805250538131098,  0.3237337237845799
21.69009571929255,   0.2956805021000548
22.326028024644813,  0.2706188256187402
22.921655827989575,  0.24943570652200386
23.77555545201424,   0.22759511417349132
24.46558901644765,   0.20023660183853098
25.292415887107637,  0.17936870894394807
25.993759831152666,  0.1554436694531245
26.682265717168285,  0.1303514408216475
27.567438501109635,  0.10490020421650326
28.040804663355757,  0.0846451944316865
28.70468673315102,   0.0655764789860055
29.748683330260818,  0.04159479399632948
30.602678256912363,  0.020511142761818535
31.58949441244868,  -0.004030309014173117
32.785389214868154, -0.031149539427775874
33.924463229675105, -0.055971985042711614
34.87348678815528,  -0.07828387866322117
36.01299987577894,  -0.0996189884315064
37.43818471476893,  -0.1199856650275184
38.86343337248227,  -0.13984546141326137
40.38364641784272,  -0.16144375959667379
42.18925197219999,  -0.18429150712785658
44.18625371992322,  -0.19896129021955145
46.278871979504935, -0.21019007856030636
48.37134945111513,  -0.2225370753649274
50.464649990866555, -0.22834685345771577
52.55855700187994,  -0.2293397335523113
54.65245318304938,  -0.23041862968258942
56.74653347156619,  -0.23003525320627283
58.8413610193165,   -0.2237167702678977
60.93620300685877,  -0.2172835992819464
63.031124413256784, -0.21021964403432736
65.12628046627398,  -0.2012920080135978
67.2216170166906,   -0.19093077139816828
69.31694995715921,  -0.1805982067946328
71.41240563585941,  -0.1692907937867012
73.50770969674414,  -0.15918760527831743
75.60325201419607,  -0.14719206398493
77.69856690492475,  -0.13700285944086432
79.79395760456117,  -0.1262115426470245
81.88919668638212,  -0.11662445035273317
83.98446103783897,  -0.10683665397518372
86.07956655158435,  -0.09831042612097018
88.17472982449752,  -0.08932544607645299
90.2697847989711,   -0.08120062638875569
92.36492641219635,  -0.07238767841560212
94.46000521232662,  -0.06407362344940415
96.55499737370519,  -0.0564476967686629
98.64988556858171,  -0.04964752403046835
100.74442071054497, -0.0456514740555074
102.83891253313243, -0.04199948822327482
104.93363394841188, -0.036523962434583446
107.02857845847703, -0.029276506310842665
109.12318940934804, -0.024678344086107584
111.21782851781339, -0.0198565401685995
113.31300695250815, -0.010751137674127165
115.40753064577925, -0.006846018936887521
117.50179566049167, -0.004995454651937958
119.59598713540649, -0.003728980209286137
121.69042192081574, -0.0005300121649787215
123.78442640042479, -0.0007487479384362672
125.87867996644505,  0.0010108851087924364
127.97290104293339,  0.002512470048974924
130.06712211942173,  0.004014054989157412
132.10421685198574,  0.00538554372126443
134.25541265458293,  0.005813000369974564
136.34934132528426,  0.004992152346742662
138.44312379309204,  0.003010087841803788
140.53706870855933,  0.0023182638720951054
142.63090640857138,  0.0007748811491345986
144.72481775152232, -0.0001835925311886033
146.81867061331593, -0.0016065528041941946
148.91253430495345, -0.002943497041518084
151.00649546518667, -0.0035062969577037695
153.1004566254199,  -0.004069096873889455
155.1943852961212,  -0.0048899448971211346
157.28828147729064, -0.005968841027398808
159.38206214012445, -0.007965241538284484
161.4757189817423,  -0.010945092057134787
163.56917944218958, -0.015484700023018938
165.6629348353875,  -0.017681804617162733
167.75661333669328, -0.020489623064648743
169.8503828086883,  -0.022574906812406148
171.94443927154842, -0.022380765614590237
173.98127517084168, -0.02306506013528309
176.13243740092258, -0.022904253197187474
178.22655017897128, -0.022262828613825114
180.32079291514756, -0.020589211602278557
182.41506814085574, -0.018657546483686005
184.47114795088297, -0.017695710136812037
186.60418174415815, -0.010321382391036193
188.6981477520358,  -0.01084567989124996
