!------------------------------------!
Touber & Leschziner (2012)
A^+ = 12, T^+ = 100
Pure temporal spanwise oscillations
Channel flow, nominal Re_tau = 200
!------------------------------------!

y^+,                 umean^+
0.2551124473816925,  0.2596643819640079
0.29297054857068605, 0.2603933037877013
0.34367488336106367, 0.3340144079809093
0.40123654753838794, 0.44379022470027607
0.4780577571435072,  0.5462100607861871
0.5650731315739644,  0.6300214588122479
0.6786475079542715,  0.7287699570622266
0.8085804338169933,  0.8361408544583142
0.963367802573175,   0.9979734262663342
1.1477741765528338,  1.1845613046252303
1.3674678032707412,  1.390953428224826
1.6291697099003661,  1.6592338182016135
1.9409307983900876,  1.9572205760394539
2.312282857981019,   2.324522192219746
2.75460032064485,    2.7636141973975796
3.281421644105957,   3.279447652883132
3.8778783975372297,  3.861583371778334
4.47458873288772,    4.422613093931584
5.041237058606558,   4.971911418168862
5.724811747022233,   5.62365909904528
6.52697527574495,    6.290826149081738
7.33735579868762,    6.975898300295935
8.104358216971645,   7.6543056016292645
8.8193980703709,     8.294823009716769
9.734972670909336,   8.898248392146076
10.283020583344534,  9.650223171367031
11.242868486765039, 10.503360790529118
11.95195855781582,  11.406428524793736
12.979218121144791, 11.993950059210034
14.48554115998141,  12.944698383363537
15.813163417836806, 13.732019199743814
17.254948954595882, 14.567559747007042
18.38546958380247,  15.169243067145654
19.590249641475417, 15.748234022945963
21.040469783384903, 16.37492090200341
22.778382163178193, 17.0397729112959
24.660358205340234, 17.65560941361765
26.911137967285182, 18.28691868183615
29.60247140722409,  18.895577543863034
32.82355867147433,  19.489366238900026
36.979402512046995, 20.091505354382214
42.33049948276805,  20.68713679461191
49.62772130079391,  21.281003078920165
59.11735066707744,  21.866151392748172
70.42377853422701,  22.377033786923548
83.89340136224892,  22.865636405203137
99.93940053256716,  23.351763492827637
119.05734819008875, 23.78095337538512
139.60028182386878, 24.05492608726372
