!------------------------------------!
Jimenez & Moin (1991)

y^+ ~ 7.2
!------------------------------------!

rz^+,                Cuu(rz^+)            
0.42643223853940526, 0.9909349935694938
1.2296811928270515,  0.9830226546881877
2.083468512785153,   0.9635059882496582
2.912051518233495,   0.947642181739273
3.740607298543427,   0.9326804348147723
4.56917997721513,    0.9171587888369639
5.397819310536038,   0.8994286521488862
6.226411703963139,   0.8832537906088855
7.055069813241568,   0.864901543861577
7.88412221762796,    0.8334849858704219
8.675563328004579,   0.8010808281602378
9.467151360248803,   0.7638086592365727
10.296382136231657,  0.726482055682725
11.125594136256982,  0.6897775621881079
11.954853076176118,  0.6515177935454142
12.708762533896113,  0.6154872526149638
13.462670426952982,  0.5795085541894495
14.29194344884026,   0.5407822030023325
15.121239940674439,  0.5012782142411769
15.912849799969283,  0.463282842373656
16.66680776224621,   0.4256451837901929
17.420796704853053,  0.386981043608999
18.174744340353342,  0.3496855455581128
18.92867132230036,   0.31307436857238036
19.682598304247374,  0.2764631915866481
20.436520122806073,  0.2400230948672043
21.190462594918046,  0.20289867708260645
21.981965431255016,  0.16844933255270111
22.81112579739716,   0.1334556417209689
23.640314327475586,  0.09752878580039037
24.469512245532776,  0.061290874850196575
25.298672611674917,  0.02629718401846426
26.127837671806446, -0.008852034328075575
26.85899706848189,  -0.039402304061751714
27.63550481492313,  -0.07588439321019402
28.464651099097132, -0.11041150149750312
29.293590847738393, -0.13809539913327362
30.12261039419912,  -0.16842326452077483
30.951475039010298, -0.19361872191962193
31.780491769077393, -0.22385327079823858
32.609255962515824, -0.24572043938020127
33.43815346525266,  -0.27200458938270233
34.26708851990453,  -0.2995329595036649
35.09599541062013,  -0.32612816453578164
35.924756787664926, -0.34790201660885955
36.75337734502831,  -0.36501004323770636
37.58201198435984,  -0.3825846524109764
38.41064192970199,  -0.40000373406943845
39.23923432312909,  -0.41617859560943926
40.06785957448186,  -0.4334421497530938
40.89647543785586,  -0.4503946488671331
41.7250819132511,   -0.4670360929515569
42.553674306678204, -0.4832109544915575
43.38220098425398,  -0.49720843082425037
44.21055867821206,  -0.5056069166238661
45.038935148127656, -0.5146275124827127
45.86733039400077,  -0.5242702184007899
46.69576788577832,  -0.5353126719521366
47.52419129558772,  -0.5458885429590601
48.352581847471455, -0.5553757213623298
49.180930153450774, -0.5634631521323301
50.00928315341947,  -0.5717061104171381
50.83751410966427,  -0.575905353316946
51.66572628995155,  -0.5794824861575232
52.493910306302546, -0.5821264539092541
53.32209901664292,  -0.5849259491757925
54.150264257036405, -0.5869478068682925
54.9784717433343,   -0.5903694121940619
55.806618207770256, -0.5917691598273314
56.63479283614249,  -0.5941020725494468
57.199468023644876, -0.5960461664845431
