!------------------------------------!
Jimenez & Moin (1991)

y^+ ~ 7.2
!------------------------------------!

rz^+,                Cww(rz^+)  
0.8181010330325318,  0.9926154587924523
1.491123937533775,   0.9809209318574789
2.2921913433801375,  0.9662824852679565
2.769800752255387,   0.9611999498548524
3.6972126195012525,  0.9465672803326093
4.259321265782541,   0.9370222813943854
5.032158069523785,   0.9249347309568805
5.791581401798716,   0.9121833382665742
6.68089341317668,    0.895914349771645
7.252593135234992,   0.8854773614388827
8.026392783522798,   0.857438686346713
8.940844763171974,   0.824940115314881
9.517916013706795,   0.8000826786045431
10.694372273786946,  0.7556654064525419
11.574663624794162,  0.7225486726005482
12.537829588333082,  0.6824295839299432
13.378662926466962,  0.6497183798380387
14.307258871249708,  0.6106873288250858
15.179205226264152,  0.5747697923747891
16.14960974849568,   0.5335104995767874
17.06613815045799,   0.49395954597023606
17.926921782488574,  0.45737958141041646
18.769859810242323,  0.41949533216950186
19.69065463443405,   0.3805311345569744
20.656733724446823,  0.3396626845883811
21.49946029973876,   0.30528149779809854
22.497774579929406,  0.2708259584212449
23.41611458856451,   0.23689629639941068
24.31075028448095,   0.2036987516453459
25.183803076795552,  0.17172222192074904
26.06402066531609,   0.13982748659804567
26.91921310085652,   0.10679107189821191
27.811994899607793,  0.07461177729357016
28.66953494922421,   0.044255727442958914
29.67298403281244,   0.007878621195666957
30.464167726422065, -0.004058919886303691
31.30641732064176,  -0.031146688524606114
32.2616013471974,   -0.057201704440760226
32.99043741368453,  -0.07555950722925431
33.842554199405456, -0.09921516129421626
34.74995178901692,  -0.12409436290068876
35.49777186082528,  -0.1451600685334311
36.28536712419971,  -0.1600080391141827
37.234890961702575, -0.17604616741747492
37.96070017154915,  -0.18822728750482964
38.73338292016294,  -0.19776265799758774
39.28382510002176,  -0.20783989600460417
39.8874143242452,   -0.21895156845566666
40.665924256971124, -0.235425392263527
41.23976355931133,  -0.24550156044326932
41.80929960275117,  -0.25521824734290344
42.64567326094054,  -0.2674977835500496
43.68534960966062,  -0.2804523448602767
44.596721276179295, -0.28802374448027734
45.500595723552095, -0.29610872770751784
46.412106801170594, -0.3059897045478768
47.36784144005172,  -0.3180193826251507
48.363144489661224, -0.32634458568400415
49.30465993398553,  -0.3344278477865552
50.283738924650336, -0.34122629030866247
51.23248825604311,  -0.3444334340544082
52.20376538849203,  -0.3466986062577868
53.144940050127886, -0.34913623515501735
54.161432849285234, -0.3521692010822217
55.14025367124668,  -0.35469064875181333
56.11904867633777,  -0.3567843969361535
56.909638696671294, -0.3588867507439395
